timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity
2.47955e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.40667e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.0252e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.50204e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.07288e-05,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.0252e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
1.16825e-05,0,0,0,0,0,0,0,0
1.40667e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.43051e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.28746e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
9.05991e-06,0,0,0,0,0,0,0,0
8.82149e-06,0,0,0,0,0,0,0,0
1.28746e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.90735e-05,0,0,0,0,0,0,0,0
1.90735e-05,0,0,0,0,0,0,0,0
1.78814e-05,0,0,0,0,0,0,0,0
1.50204e-05,0,0,0,0,0,0,0,0
1.43051e-05,0,0,0,0,0,0,0,0
2.7895e-05,0,0,0,0,0,0,0,0
1.5974e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.5974e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.78814e-05,0,0,0,0,0,0,0,0
1.4782e-05,0,0,0,0,0,0,0,0
1.50204e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.16825e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.28746e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.4782e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.71661e-05,0,0,0,0,0,0,0,0
1.38283e-05,0,0,0,0,0,0,0,0
2.71797e-05,0,0,0,0,0,0,0,0
1.78814e-05,0,0,0,0,0,0,0,0
2.21729e-05,0,0,0,0,0,0,0,0
1.69277e-05,0,0,0,0,0,0,0,0
1.38283e-05,0,0,0,0,0,0,0,0
1.52588e-05,0,0,0,0,0,0,0,0
1.57356e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.50204e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
1.07288e-05,0,0,0,0,0,0,0,0
1.19209e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
9.77516e-06,0,0,0,0,0,0,0,0
1.12057e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.3113e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.52588e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.09673e-05,0,0,0,0,0,0,0,0
1.00136e-05,0,0,0,0,0,0,0,0
1.21593e-05,0,0,0,0,0,0,0,0
