timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity
2.40803e-05,0,0,0,0,0,0,0,0
1.57356e-05,0,0,0,0,0,0,0,0
2.21729e-05,0,0,0,0,0,0,0,0
1.88351e-05,0,0,0,0,0,0,0,0
1.78814e-05,0,0,0,0,0,0,0,0
2.57492e-05,0,0,0,0,0,0,0,0
2.09808e-05,0,0,0,0,0,0,0,0
2.93255e-05,0,0,0,0,0,0,0,0
3.29018e-05,0,0,0,0,0,0,0,0
3.60012e-05,0,0,0,0,0,0,0,0
3.88622e-05,0,0,0,0,0,0,0,0
3.40939e-05,0,0,0,0,0,0,0,0
3.50475e-05,0,0,0,0,0,0,0,0
3.38554e-05,0,0,0,0,0,0,0,0
4.673e-05,0,0,0,0,0,0,0,0
3.09944e-05,0,0,0,0,0,0,0,0
3.21865e-05,0,0,0,0,0,0,0,0
4.00543e-05,0,0,0,0,0,0,0,0
4.48227e-05,0,0,0,0,0,0,0,0
2.98023e-05,0,0,0,0,0,0,0,0
3.09944e-05,0,0,0,0,0,0,0,0
3.21865e-05,0,0,0,0,0,0,0,0
2.40803e-05,0,0,0,0,0,0,0,0
5.38826e-05,0,0,0,0,0,0,0,0
0.00160933,0,0,0,0,0,0,0,0
5.60284e-05,0,0,0,0,0,0,0,0
3.8147e-05,0,0,0,0,0,0,0,0
4.81606e-05,0,0,0,0,0,0,0,0
3.60012e-05,0,0,0,0,0,0,0,0
6.79493e-05,0,0,0,0,0,0,0,0
3.00407e-05,0,0,0,0,0,0,0,0
3.19481e-05,0,0,0,0,0,0,0,0
4.91142e-05,0,0,0,0,0,0,0,0
2.69413e-05,0,0,0,0,0,0,0,0
2.09808e-05,0,0,0,0,0,0,0,0
3.00407e-05,0,0,0,0,0,0,0,0
2.38419e-05,0,0,0,0,0,0,0,0
2.5034e-05,0,0,0,0,0,0,0,0
2.7895e-05,0,0,0,0,0,0,0,0
2.69413e-05,0,0,0,0,0,0,0,0
4.62532e-05,0,0,0,0,0,0,0,0
7.67708e-05,0,0,0,0,0,0,0,0
2.81334e-05,0,0,0,0,0,0,0,0
2.98023e-05,0,0,0,0,0,0,0,0
2.40803e-05,0,0,0,0,0,0,0,0
2.40803e-05,0,0,0,0,0,0,0,0
3.38554e-05,0,0,0,0,0,0,0,0
2.02656e-05,0,0,0,0,0,0,0,0
2.47955e-05,0,0,0,0,0,0,0,0
3.38554e-05,0,0,0,0,0,0,0,0
2.26498e-05,0,0,0,0,0,0,0,0
4.12464e-05,0,0,0,0,0,0,0,0
3.00407e-05,0,0,0,0,0,0,0,0
2.7895e-05,0,0,0,0,0,0,0,0
2.6226e-05,0,0,0,0,0,0,0,0
3.91006e-05,0,0,0,0,0,0,0,0
2.88486e-05,0,0,0,0,0,0,0,0
2.83718e-05,0,0,0,0,0,0,0,0
2.71797e-05,0,0,0,0,0,0,0,0
3.71933e-05,0,0,0,0,0,0,0,0
3.00407e-05,0,0,0,0,0,0,0,0
3.60012e-05,0,0,0,0,0,0,0,0
7.58171e-05,0,0,0,0,0,0,0,0
3.62396e-05,0,0,0,0,0,0,0,0
5.19753e-05,0,0,0,0,0,0,0,0
3.71933e-05,0,0,0,0,0,0,0,0
5.79357e-05,0,0,0,0,0,0,0,0
4.88758e-05,0,0,0,0,0,0,0,0
3.50475e-05,0,0,0,0,0,0,0,0
6.17504e-05,0,0,0,0,0,0,0,0
4.72069e-05,0,0,0,0,0,0,0,0
4.81606e-05,0,0,0,0,0,0,0,0
4.12464e-05,0,0,0,0,0,0,0,0
3.88622e-05,0,0,0,0,0,0,0,0
3.19481e-05,0,0,0,0,0,0,0,0
3.62396e-05,0,0,0,0,0,0,0,0
4.60148e-05,0,0,0,0,0,0,0,0
3.79086e-05,0,0,0,0,0,0,0,0
3.12328e-05,0,0,0,0,0,0,0,0
5.00679e-05,0,0,0,0,0,0,0,0
4.79221e-05,0,0,0,0,0,0,0,0
3.19481e-05,0,0,0,0,0,0,0,0
4.50611e-05,0,0,0,0,0,0,0,0
2.7895e-05,0,0,0,0,0,0,0,0
3.48091e-05,0,0,0,0,0,0,0,0
3.00407e-05,0,0,0,0,0,0,0,0
3.69549e-05,0,0,0,0,0,0,0,0
3.31402e-05,0,0,0,0,0,0,0,0
4.98295e-05,0,0,0,0,0,0,0,0
3.98159e-05,0,0,0,0,0,0,0,0
4.1008e-05,0,0,0,0,0,0,0,0
3.8147e-05,0,0,0,0,0,0,0,0
6.8903e-05,0,0,0,0,0,0,0,0
3.71933e-05,0,0,0,0,0,0,0,0
5.126e-05,0,0,0,0,0,0,0,0
3.02792e-05,0,0,0,0,0,0,0,0
6.38962e-05,0,0,0,0,0,0,0,0
4.31538e-05,0,0,0,0,0,0,0,0
5.07832e-05,0,0,0,0,0,0,0,0
4.88758e-05,0,0,0,0,0,0,0,0
4.50611e-05,0,0,0,0,0,0,0,0
4.60148e-05,0,0,0,0,0,0,0,0
4.1008e-05,0,0,0,0,0,0,0,0
4.79221e-05,0,0,0,0,0,0,0,0
6.19888e-05,0,0,0,0,0,0,0,0
3.67165e-05,0,0,0,0,0,0,0,0
2.90871e-05,0,0,0,0,0,0,0,0
2.98023e-05,0,0,0,0,0,0,0,0
3.29018e-05,0,0,0,0,0,0,0,0
3.40939e-05,0,0,0,0,0,0,0,0
3.29018e-05,0,0,0,0,0,0,0,0
3.71933e-05,0,0,0,0,0,0,0,0
2.81334e-05,0,0,0,0,0,0,0,0
3.8147e-05,0,0,0,0,0,0,0,0
2.5034e-05,0,0,0,0,0,0,0,0
2.40803e-05,0,0,0,0,0,0,0,0
4.60148e-05,0,0,0,0,0,0,0,0
3.88622e-05,0,0,0,0,0,0,0,0
3.60012e-05,0,0,0,0,0,0,0,0
3.19481e-05,0,0,0,0,0,0,0,0
2.71797e-05,0,0,0,0,0,0,0,0
2.5034e-05,0,0,0,0,0,0,0,0
2.38419e-05,0,0,0,0,0,0,0,0
2.47955e-05,0,0,0,0,0,0,0,0
